home,FT,visitor,Date,hgoal,vgoal
Chernomorets,0-0,Spartak,1975-04-12,0,0
Dinamo Tblisi,0-0,Lokomotiv,1975-04-12,0,0
Karpaty,0-1,Dinamo Moskva,1975-04-12,0,1
Pahtakor,3-0,Zenit,1975-04-12,3,0
Shakhtyor,4-2,Torpedo,1975-04-12,4,2
Zarya,1-0,CSKA,1975-04-12,1,0
Dnepr,3-0,SKA R/D,1975-04-24,3,0
FC Ararat,2-3,Dinamo Kiev,1975-05-07,2,3
FC Ararat,3-0,Dnepr,1975-04-16,3,0
Chernomorets,1-1,Dinamo Moskva,1975-04-16,1,1
CSKA,1-0,Shakhtyor,1975-04-16,1,0
Dinamo Tblisi,0-1,Zenit,1975-04-16,0,1
Karpaty,2-0,Spartak,1975-04-16,2,0
Pahtakor,2-2,Lokomotiv,1975-04-16,2,2
SKA R/D,0-2,Dinamo Kiev,1975-04-16,0,2
Torpedo,2-1,Zarya,1975-04-17,2,1
Dinamo Kiev,3-0,Zarya,1975-04-19,3,0
CSKA,0-1,FC Ararat,1975-04-20,0,1
Lokomotiv,1-0,SKA R/D,1975-04-20,1,0
Shakhtyor,2-2,Dnepr,1975-04-20,2,2
Spartak,2-0,Pahtakor,1975-04-20,2,0
Zenit,3-1,Chernomorets,1975-04-20,3,1
Dinamo Moskva,2-3,Dinamo Tblisi,1975-04-21,2,3
Torpedo,2-1,Karpaty,1975-04-22,2,1
Dinamo Moskva,3-0,Pahtakor,1975-04-26,3,0
Spartak,2-0,Dinamo Tblisi,1975-04-26,2,0
Dinamo Kiev,3-1,Shakhtyor,1975-04-27,3,1
Dnepr,2-1,Zarya,1975-04-27,2,1
Lokomotiv,4-1,FC Ararat,1975-04-27,4,1
SKA R/D,0-0,CSKA,1975-04-27,0,0
Torpedo,0-1,Chernomorets,1975-04-27,0,1
Zenit,3-2,Karpaty,1975-04-27,3,2
Spartak,0-0,Dinamo Moskva,1975-04-30,0,0
FC Ararat,1-0,Dinamo Tblisi,1975-05-02,1,0
CSKA,1-0,Lokomotiv,1975-05-02,1,0
Dinamo Kiev,1-0,Dnepr,1975-05-02,1,0
Pahtakor,4-2,SKA R/D,1975-05-02,4,2
Shakhtyor,2-0,Karpaty,1975-05-02,2,0
Zarya,3-1,Chernomorets,1975-05-02,3,1
Zenit,0-0,Torpedo,1975-05-02,0,0
Chernomorets,2-1,Shakhtyor,1975-05-11,2,1
CSKA,1-0,Zenit,1975-05-11,1,0
Dinamo Tblisi,0-0,Pahtakor,1975-05-11,0,0
Dnepr,2-0,Dinamo Moskva,1975-05-11,2,0
Karpaty,0-0,Zarya,1975-05-11,0,0
Lokomotiv,0-0,Spartak,1975-05-11,0,0
SKA R/D,3-2,FC Ararat,1975-05-11,3,2
